{'./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_LOG.log': './lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_UART.log'}
Reading File:  ./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_LOG.log
Number of lines in log file:  3755
Number of lines in uart file:  30822
Test contains the following single or groups of events:
1 memory, 0 timeout, 0 other

Mem event group 0, File: ./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_UART.log
[2022-12-19 05:19:35] error addr: 0x51256124, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256128, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125612c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256130, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256134, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256138, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125613c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256140, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256144, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256148, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125614c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256150, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256154, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256158, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125615c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256160, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256164, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256168, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125616c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256170, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256174, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256178, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125617c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256180, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256184, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51256188, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125618c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] ERRORS (32-bit words): 1024
[2022-12-19 05:19:35] ERRORS (128-bit words): 109
[2022-12-19 05:19:35] error addr: 0x51258000, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258004, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258008, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125800c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258010, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258014, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258018, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125801c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258020, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258024, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258028, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125802c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258030, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258034, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258038, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125803c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258040, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258044, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258048, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125804c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258050, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258054, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258058, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125805c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258060, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258064, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258068, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125806c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258070, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258074, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258078, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125807c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258080, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258084, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258088, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125808c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258090, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258094, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258098, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x5125809c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580a0, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580a4, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580a8, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580ac, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580b0, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580b4, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580b8, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580bc, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580c0, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580c4, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580c8, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580cc, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580d0, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580d4, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580d8, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580dc, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580e0, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580e4, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580e8, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580ec, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580f0, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580f4, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580f8, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x512580fc, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258100, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:35] error addr: 0x51258104, content: 0x00000000, expected: 0xa5a5a5a5
